Day,PM_2.5,PM_10,SO_2,NO_2,O_3,Temperature, Relative_humidity , Wind_speed
6/1/2004,6.4,5.5,0,1.7,4.9,21.2,48,2.5
6/2/2004,6.5,5.6,0,1.8,5.8,22.8,68.2,3.8
6/3/2004,6.6,5.8,0.2,2,6.8,23.5,78.9,6.4
6/4/2004,6.7,6.4,0.7,2.3,7.9,24.7,87.1,7.3
6/5/2004,6.7,7.3,1,2.5,9.5,25.9,90.2,5.2
6/6/2004,6.8,8.6,1.3,2.6,11.6,26.7,92.1,8.4
6/7/2004,6.9,5.6,0,1.9,13.7,27.3,95.9,10.6
6/8/2004,7,5.9,0.3,8.6,16.8,26.2,92.1,11.7
6/9/2004,7.5,6.2,0.5,9.1,20.1,25.1,90.1,9.6
6/10/2004,7.4,6.1,0.47,11.2,19.3,24,87.6,8.3
6/11/2004,7.8,6.5,0.72,5.9,18.2,22.8,69.1,7.2
6/12/2004,7.9,6.3,0.6,13.1,14.3,23.2,71.1,5.1
6/13/2004,8.1,7.6,1.1,16.5,15.6,22.1,68.5,4.6
6/14/2004,8.9,8.1,1.24,13.2,25.7,25,90,7.8
6/15/2004,9.4,9.5,1.65,18.6,18.6,24.1,88.1,5.6
6/16/2004,9.8,9.6,1.66,19.8,15.3,23.5,79.3,7.3
6/17/2004,9.9,10.1,1.84,20.5,14.2,22.4,68.7,8.2
6/18/2004,9.7,11.4,1.92,5.8,16.2,21.8,53.5,6.4
6/19/2004,10.6,13.5,2,5.1,15.1,22,67.6,5.1
6/20/2004,10.4,16.2,2.2,6.7,13.2,23,75.4,3.9
6/21/2004,7.6,11.4,1.92,9.8,19.1,24.6,86.9,3
6/22/2004,11.5,10.8,1.88,8.7,16.3,25,89.9,2.7
6/23/2004,8.9,7.4,1.07,7.3,14.2,25.4,90.1,3.4
6/24/2004,9.1,8.3,1.25,9.7,15.7,26.7,92.8,3.6
6/25/2004,12.6,9.6,1.66,10.6,18.3,27.5,94.9,3.7
6/26/2004,11,14.5,2.09,10.9,14.2,25.3,88.7,4.1
6/27/2004,11.9,12.8,1.98,11,13.1,26.1,91.8,4.8
6/28/2004,13.7,16.7,2.3,13.45,11.5,29.2,96.7,2.5
6/29/2004,14.2,17.9,2.42,15.3,9.8,27.5,95.5,2.6
6/30/2004,10.5,20.1,2.57,16.4,6.7,24.3,87.8,2.9
7/1/2004,8.9,15.4,2.13,18.1,13.2,22.8,69.1,5.2
7/2/2004,12.6,14.7,2.1,17.5,11.6,25.6,90.6,2.7
7/3/2004,13.1,16.9,2.32,16.9,15.7,26.8,91.7,3.4
7/4/2004,15.3,12.4,1.96,18.7,14.2,27.9,94.9,2.9
7/5/2004,16.7,10.3,1.85,16.5,13.6,28.6,96.1,2.7
7/6/2004,25.3,8.9,1.3,7.6,12.5,28.2,95.9,6.8
7/7/2004,20.4,6.5,0.72,9.5,11.8,29.1,96.2,2.5
7/8/2004,21.8,9.7,1.69,11.2,18.6,29.4,96.3,4.3
7/9/2004,23.5,14.8,2.11,13.7,22.1,30.1,97.7,2.6
7/10/2004,19.6,22.1,2.84,14.8,20.3,31.2,98.1,2.7
7/11/2004,23.3,23,2.95,17.9,24.5,28.1,96.1,2.9
7/12/2004,26.4,23.6,2.98,16.5,26.5,27.2,94.9,2.8
7/13/2004,24.3,24.8,3.15,19.1,29.7,24.3,87.6,3.1
7/14/2004,27.8,18.7,2.7,18.6,31.2,22,68.8,3.4
7/15/2004,25.6,17.6,2.39,21.3,33.4,21.6,60.1,7.3
7/16/2004,25.1,24.8,3.15,20.1,31,21.3,59.1,3.7
7/17/2004,26.5,26.9,3.54,17,21.5,23,75.4,2.6
7/18/2004,27.9,28.6,3.84,16.8,25.6,22.5,67.7,2.7
7/19/2004,20.5,31.4,4,19.3,20.3,21.2,62.2,2.7
7/20/2004,21.4,26.5,3.48,23.2,19.8,23.7,76.1,3.1
7/21/2004,29.4,21.25,2.63,25.4,28.9,26.1,93.4,3.3
7/22/2004,32.4,15.4,2.13,14.2,26.7,24.2,88.9,3
7/23/2004,30.1,16.7,2.3,5.3,19.8,22.3,68.9,2.9
7/24/2004,30,20.25,2,8.9,17.5,24.1,87,2.5
7/25/2004,31,24.3,3.1,13.2,21.6,26.3,92.1,6.4
7/26/2004,31.1,29.8,3.9,9.8,19.8,27.2,94.5,8.3
7/27/2004,28.5,30.2,3.95,8.3,20.1,29.7,95.8,11
7/28/2004,24.8,34.1,3,16.7,19.8,30.6,97.8,10.4
7/29/2004,29.1,38.5,3.3,15.3,23.7,32.3,98.1,2.5
7/30/2004,35.4,31.1,3.1,19.1,19.6,34.8,98.6,2.6
